# LAMMPS data file written by OVITO Basic 3.9.4

32 atoms
1 atom types

0.0 9.8543251005 xlo xhi
0.0 8.5338058206 ylo yhi
0.0 49.9812277894 zlo zhi
4.9251584024 4.447364965e-06 3.5155761198e-06 xy xz yz

Masses

1 12.0107  # C

Atoms  # atomic

1 1 14.7781271634 8.5329670371 23.3912146053
2 1 1.2307708155 0.7102363632 23.3912146054
3 1 11.0842583793 2.1326126711 23.3912146052
4 1 2.4620604236 2.8436878392 23.3912146052
5 1 12.3155479915 4.2660641604 23.3912146046
6 1 3.6933500373 4.9771392929 23.3912146066
7 1 13.5468375817 6.399515617 23.3912146074
8 1 4.9246396458 7.1105907364 23.3912146066
9 1 7.3873833638 8.5329670425 23.391214605
10 1 3.6943521145 0.7102363634 23.3912146056
11 1 3.6935145725 2.1326126766 23.3912146041
12 1 4.925641724 2.8436878337 23.3912146047
13 1 4.9248041743 4.2660641481 23.3912146048
14 1 6.1569313239 4.9771392901 23.3912146056
15 1 6.1560937542 6.3995155934 23.3912146052
16 1 7.3882209058 7.1105907175 23.391214605
17 1 9.8509646746 8.5329670347 23.3912146054
18 1 6.1579334007 0.7102363794 23.3912146067
19 1 6.1570958519 2.1326126684 23.3912146037
20 1 7.3892229997 2.8436878331 23.3912146047
21 1 7.3883854419 4.2660641368 23.391214604
22 1 8.6205125837 4.9771392777 23.3912146053
23 1 8.6196750508 6.3995155891 23.391214604
24 1 9.8518021799 7.1105907198 23.3912146053
25 1 12.3145459226 8.5329670324 23.3912146079
26 1 8.6215146588 0.7102363824 23.391214606
27 1 8.6206771089 2.1326126633 23.3912146041
28 1 9.8528042474 2.8436878373 23.3912146058
29 1 9.851966708 4.266064145 23.3912146043
30 1 11.084093848 4.977139282 23.3912146055
31 1 11.083256331 6.3995156157 23.3912146055
32 1 12.315383464 7.1105907367 23.3912146092
